lambda,W1,W1_rel_sd
1,0.3134237650182568,0.3134237650182568
2,0.2988091263990555,0.21128995955720034
5,0.29828650483391966,0.13339778031589278
10,0.2990833828686002,0.09457847001729605
20,0.2982685908646295,0.06669488447263842
30,0.29817904185895305,0.05443979580047525
50,0.29798516165966993,0.04214146570050444
100,0.29784125211981427,0.029784125211981427
