lambda,W1,W1_rel_sd
1,0.3134237650182568,0.3134237650182568
2,0.2988091263990555,0.21128995955720034
3,0.2968148836360351,0.1713661529667523
4,0.2980732679605635,0.14903663398028175
5,0.29828650483391966,0.13339778031589278
6,0.29885037423849475,0.12200515438735118
7,0.2991456214654682,0.11306641717021346
8,0.29916470228502373,0.10577069483869744
9,0.2993408601853414,0.09978028672844713
10,0.2990833828686002,0.09457847001729605
11,0.29892993246166205,0.0901307658710558
12,0.29887624985616795,0.08627814165442221
13,0.29870942235541764,0.0828470875974375
14,0.29879557266921136,0.07985647582950747
15,0.29839290312758737,0.07704471629597526
16,0.2983710887974482,0.07459277219936206
17,0.2986189195919429,0.07242572631090634
18,0.2983154436876715,0.0703136243880754
19,0.2985834709237137,0.06849974610358331
20,0.2982685908646295,0.06669488447263842
21,0.2989429294937253,0.06523469537508776
22,0.2978188310422761,0.06349518812240376
23,0.29831395909448116,0.06220276038563191
24,0.2984982740980749,0.06093070505347634
25,0.29827525611793443,0.059655051223586886
26,0.2982484325857038,0.05849132990972947
27,0.2979112306927908,0.057333043078365155
28,0.29841400765973364,0.05639494657184136
29,0.2982067592344369,0.05537560500272145
30,0.29817904185895305,0.05443979580047525
31,0.298059659622447,0.053533095188487326
32,0.2981286476215113,0.05270219709978633
33,0.29821260100907837,0.051912150560112134
34,0.29796035738260873,0.05109977971967368
35,0.2984748433240364,0.05045145675294735
36,0.29804399340823207,0.04967399890137201
37,0.2979959086292083,0.048990225599781625
38,0.29755294324758913,0.04826946131526504
39,0.29834042411579215,0.04777270131908849
40,0.29812136023245583,0.04713712587410525
41,0.29800774905947075,0.04654099124257326
42,0.29804923095372615,0.04598999478978516
43,0.29801390101578007,0.045446693844148824
44,0.29799916523205056,0.044925064496083356
45,0.2980650402929388,0.04443291278741499
46,0.29800834001529625,0.043938932602328985
47,0.29812649373614414,0.04348621847411978
48,0.2980588105735516,0.043021083629744925
49,0.29810597611906864,0.04258656801700981
50,0.29798516165966993,0.04214146570050444
51,0.29768013864854603,0.04168355695602556
52,0.29778394927499374,0.041295203773890676
53,0.29806252237031394,0.040942036164755065
54,0.29795633277298206,0.04054672116248394
55,0.2979106724905773,0.040170266883895835
56,0.298060431400906,0.03983000053057956
57,0.29779654279128465,0.039444115674916146
58,0.2980499573362397,0.03913587671181413
59,0.2975350664427632,0.03873576627879041
60,0.2976583672682524,0.038427529976307745
61,0.2979996518177308,0.03815494563983161
62,0.2980071514257091,0.037846946078030054
63,0.29784581151026934,0.03752504506182819
64,0.29771741085270564,0.037214676356588205
65,0.2980944759889352,0.03697406921179675
66,0.2979129078300057,0.03667054400678393
67,0.29858044076828644,0.03647740654432226
68,0.2976712483480456,0.036097941136719366
69,0.29790450340000757,0.035863487779902344
70,0.2997386609285136,0.03582562228653406
71,0.2968163552787094,0.035225620629672265
72,0.2977267724094671,0.03508743661858635
73,0.29778725974603415,0.03485336250106795
74,0.29782404634815224,0.034621342149102494
75,0.2981516858592213,0.034427591218032426
76,0.2976305634529004,0.03414056706842797
77,0.2978668281924336,0.033945075449013665
78,0.2977974509969255,0.03371892145906194
79,0.29815357084268684,0.033544897517299714
80,0.2972477583326138,0.0332333096895577
81,0.2974917054533084,0.033054633939256485
82,0.29801062934509137,0.03290976858510388
83,0.29802713092636557,0.032712727482983074
84,0.29710243769326455,0.03241653356869729
85,0.2979126369828404,0.03231316236532534
86,0.29897931719513127,0.032239768903621464
87,0.29798674147292575,0.03194753207485931
88,0.2975759136125072,0.031721698976180886
89,0.2981719961023332,0.031606168374573786
90,0.29788550383871976,0.03139988913590618
91,0.29791559880712987,0.031230040485244467
92,0.29781460171372565,0.0310493185869893
93,0.29758737869853424,0.030858373667182994
94,0.2978680606608378,0.03072274463474912
95,0.2978357871483954,0.030557307009049548
96,0.2975843897562415,0.03037207959667938
97,0.29777519907703154,0.030234490645476397
98,0.2978834105737846,0.030090768517099943
99,0.2977532316947199,0.029925325746883127
100,0.29784125211981427,0.029784125211981427
